ltv_bin,default_rate_2009,share_2009,share_defaulter_2009,default_rate_2011,share_2011,share_defaulter_2011,default_rate,share,share_defaulter
(100 - 300%],0.09691897265598147,0.2147930386969691,0.5566096110117793,0.08706075811744661,0.21880591889578513,0.5805910701507849,0.09408824978075708,0.09423170098241206,0.33248026004584763
(80 - 100%],0.03768349500638354,0.25143574248437617,0.2533377368303173,0.030099242208059863,0.2676384780273214,0.24552343675911478,0.03554091452764752,0.25851662053355706,0.34454861911288465
(0.01% - 80%],0.013316714371704568,0.5337712188186547,0.19005265215790332,0.011109308779518268,0.5135556030768935,0.17388549309010026,0.01330629233016775,0.6472516784840309,0.3229711208412677
All,0.03740057705134769,1,1,0.03281037232402537,1,1,0.0266665329787585,1,1
